"filename", "language", "Vue", "JavaScript", "Markdown", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\Viesis\Desktop\noridca\NG\.eslintrc.js", "JavaScript", 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\Viesis\Desktop\noridca\NG\.vs\ProjectSettings.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\Viesis\Desktop\noridca\NG\.vs\VSWorkspaceState.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\Viesis\Desktop\noridca\NG\README.md", "Markdown", 0, 0, 23, 0, 0, 0, 7, 30
"c:\Users\Viesis\Desktop\noridca\NG\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Viesis\Desktop\noridca\NG\package-lock.json", "JSON", 0, 0, 0, 0, 13679, 0, 1, 13680
"c:\Users\Viesis\Desktop\noridca\NG\package.json", "JSON", 0, 0, 0, 0, 32, 0, 1, 33
"c:\Users\Viesis\Desktop\noridca\NG\postcss.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Viesis\Desktop\noridca\NG\public\index.html", "HTML", 0, 0, 0, 16, 0, 1, 1, 18
"c:\Users\Viesis\Desktop\noridca\NG\src\App.vue", "Vue", 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\Viesis\Desktop\noridca\NG\src\components\Footer.vue", "Vue", 56, 0, 0, 0, 0, 4, 3, 63
"c:\Users\Viesis\Desktop\noridca\NG\src\components\GameItem.vue", "Vue", 64, 0, 0, 0, 0, 0, 2, 66
"c:\Users\Viesis\Desktop\noridca\NG\src\components\NavBar.vue", "Vue", 64, 0, 0, 0, 0, 4, 3, 71
"c:\Users\Viesis\Desktop\noridca\NG\src\components\PartnerItem.vue", "Vue", 43, 0, 0, 0, 0, 0, 1, 44
"c:\Users\Viesis\Desktop\noridca\NG\src\components\StoryItem.vue", "Vue", 37, 0, 0, 0, 0, 0, 1, 38
"c:\Users\Viesis\Desktop\noridca\NG\src\components\ToggleSwitcher.vue", "Vue", 191, 0, 0, 0, 0, 19, 10, 220
"c:\Users\Viesis\Desktop\noridca\NG\src\data.js", "JavaScript", 0, 253, 0, 0, 0, 0, 1, 254
"c:\Users\Viesis\Desktop\noridca\NG\src\main.js", "JavaScript", 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\Viesis\Desktop\noridca\NG\src\router.js", "JavaScript", 0, 42, 0, 0, 0, 1, 3, 46
"c:\Users\Viesis\Desktop\noridca\NG\src\views\Pages\AboutUsPage\index.vue", "Vue", 92, 0, 0, 0, 0, 0, 3, 95
"c:\Users\Viesis\Desktop\noridca\NG\src\views\Pages\ContactsPage\index.vue", "Vue", 43, 0, 0, 0, 0, 0, 2, 45
"c:\Users\Viesis\Desktop\noridca\NG\src\views\Pages\GamesAndSimulationsPage\index.vue", "Vue", 63, 0, 0, 0, 0, 0, 3, 66
"c:\Users\Viesis\Desktop\noridca\NG\src\views\Pages\HomePage\index.vue", "Vue", 99, 0, 0, 0, 0, 0, 3, 102
"c:\Users\Viesis\Desktop\noridca\NG\src\views\Pages\PhilosophyPage\index.vue", "Vue", 43, 0, 0, 0, 0, 0, 2, 45
"c:\Users\Viesis\Desktop\noridca\NG\src\views\index.vue", "Vue", 23, 0, 0, 0, 0, 0, 2, 25
"Total", "-", 842, 336, 23, 16, 13722, 29, 57, 15025
